"","year","wood_type","311_","309_","310_","646_","648_","648_B2E","648_B2L","652_","655_","654_","860_","656_"
"223",2011,NA,NA,NA,NA,NA,NA,0.974,0.423,NA,NA,NA,NA,NA
"224",2012,"earlywood",1.0265,0.6145,0.921,0.646,0.868,NA,NA,0.72,1.408,1.429,0.879,1.323
"225",2012,"latewood",0.8155,0.2535,0.709,0.55,0.423,NA,NA,0.3595,2.138,0.625,0.953,1.027
"226",2012,NA,NA,NA,NA,NA,NA,1.122,0.423,NA,NA,NA,NA,NA
"227",2013,"earlywood",1.1755,0.466,0.667,0.487,0.804,NA,NA,0.688,1.789,1.344,0.826,1.408
"228",2013,"latewood",0.8575,0.191,0.783,0.4235,0.402,NA,NA,0.2965,2.921,0.773,1.1225,1.44
"229",2013,NA,NA,NA,NA,NA,NA,0.804,0.466,NA,NA,NA,NA,NA
"230",2014,"earlywood",1.154,0.593,0.815,0.6565,0.974,NA,NA,0.7195,1.6405,1.376,0.7305,1.7355
"231",2014,"latewood",1.1115,0.466,0.688,0.519,0.254,NA,NA,0.2865,1.7885,1.0375,0.9215,1.747
"232",2014,NA,NA,NA,NA,NA,NA,0.931,0.296,NA,NA,NA,NA,NA
"233",2015,"earlywood",0.921,0.5925,0.5605,0.4975,0.826,NA,NA,0.741,1.2595,1.63,0.9735,2.2335
"234",2015,"latewood",0.7835,0.3175,0.466,0.3915,0.212,NA,NA,0.3915,1.4395,0.529,0.8265,1.228
"235",2015,NA,NA,NA,NA,NA,NA,0.741,0.317,NA,NA,NA,NA,NA
"236",2016,"earlywood",0.73,0.593,0.6355,0.593,0.614,NA,NA,0.7415,0.963,1.27,0.699,1.3335
"237",2016,"latewood",0.868,0.2435,0.328,0.3175,0.36,NA,NA,0.318,1.4075,0.804,0.985,1.281
"238",2016,NA,NA,NA,NA,NA,NA,0.741,0.211,NA,NA,NA,NA,NA
"239",2017,"earlywood",0.752,0.5295,0.603,0.6875,0.508,NA,NA,0.762,1.016,0.8995,0.6245,0.9635
"240",2017,"latewood",0.8785,0.2435,0.275,0.3175,0.296,NA,NA,0.3705,1.3445,0.445,0.7515,0.941
"241",2017,NA,NA,NA,NA,NA,NA,0.383,0.296,NA,NA,NA,NA,NA
"242",2018,"earlywood",1.3235,0.635,0.624,0.72,0.551,NA,NA,0.741,0.995,0.9945,0.8045,1.1325
"243",2018,"latewood",1.048,0.286,0.4445,0.222,0.254,NA,NA,0.498,1.1955,0.6455,0.71,0.7835
"244",2018,NA,NA,NA,NA,NA,NA,0.36,0.339,NA,NA,NA,NA,NA
"245",2019,"earlywood",0.8995,0.572,0.6565,0.6985,0.487,NA,NA,0.952,1.1005,1.175,0.6565,1.0695
"246",2019,"latewood",2.9855,0.466,0.4445,0.6675,0.317,NA,NA,0.4345,1.5775,1.164,0.741,0.9845
"247",2019,NA,NA,NA,NA,NA,NA,0.548,0.256,NA,NA,NA,NA,NA
"248",2020,"earlywood",2.7735,0.6775,0.6245,0.6035,0.635,NA,NA,0.688,1.6085,1.8415,1.017,1.895
"249",2020,"latewood",2.7105,0.4555,0.487,0.5925,0.19,NA,NA,0.582,1.979,1.344,1.101,1.4925
"250",2020,NA,NA,NA,NA,NA,NA,0.486,0.212,NA,NA,NA,NA,NA
"251",2021,"earlywood",2.3295,0.6885,0.6245,0.6135,0.635,NA,NA,0.9315,1.6825,1.831,1.196,2.011
